datetime,count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,dayofweek,hour
2011-01-01 00:00:00,1.3437034446606386,1,0,0,1,9.84,14.395,81,0.0,2011,1,1,5,0
2011-01-01 01:00:00,1.5504460211620947,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,1
2011-01-01 02:00:00,1.503300998004841,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,2
2011-01-01 03:00:00,1.2917246727283112,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,3
2011-01-01 04:00:00,0.5265890341390445,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,4
2011-01-01 05:00:00,0.5265890341390445,1,0,0,2,9.84,12.88,75,6.0032,2011,1,1,5,5
2011-01-01 06:00:00,0.7412763113750153,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,6
2011-01-01 07:00:00,0.8697416861919438,1,0,0,1,8.2,12.88,86,0.0,2011,1,1,5,7
2011-01-01 08:00:00,1.1622831138840004,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,8
2011-01-01 09:00:00,1.3105061862047918,1,0,0,1,13.12,17.425,76,0.0,2011,1,1,5,9
2011-01-01 10:00:00,1.5284269505599697,1,0,0,1,15.58,19.695,76,16.9979,2011,1,1,5,10
2011-01-01 11:00:00,1.6180113091810355,1,0,0,1,14.76,16.665,81,19.0012,2011,1,1,5,11
2011-01-01 12:00:00,1.6942663054703442,1,0,0,1,17.22,21.21,77,19.0012,2011,1,1,5,12
2011-01-01 13:00:00,1.7144962229206409,1,0,0,2,18.86,22.725,72,19.9995,2011,1,1,5,13
2011-01-01 14:00:00,1.7356879059276584,1,0,0,2,18.86,22.725,72,19.0012,2011,1,1,5,14
2011-01-01 15:00:00,1.742136743805324,1,0,0,2,18.04,21.97,77,19.9995,2011,1,1,5,15
2011-01-01 16:00:00,1.712589050021264,1,0,0,2,17.22,21.21,82,19.9995,2011,1,1,5,16
2011-01-01 17:00:00,1.6524030880939045,1,0,0,2,18.04,21.97,82,19.0012,2011,1,1,5,17
2011-01-01 18:00:00,1.5224670302876946,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,18
2011-01-01 19:00:00,1.5341940066777084,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,19
2011-01-01 20:00:00,1.5284269505599697,1,0,0,2,16.4,20.455,87,16.9979,2011,1,1,5,20
2011-01-01 21:00:00,1.5163019408528369,1,0,0,2,16.4,20.455,87,12.998,2011,1,1,5,21
2011-01-01 22:00:00,1.4741440143630178,1,0,0,2,16.4,20.455,94,15.0013,2011,1,1,5,22
2011-01-01 23:00:00,1.5451936315479267,1,0,0,2,18.86,22.725,88,19.9995,2011,1,1,5,23
2011-01-02 00:00:00,1.358504720646626,1,0,0,2,18.86,22.725,88,19.9995,2011,1,2,6,0
